Date,Close,High,Low,Open,Volume,daily_vol
2025-04-22,1291.199951171875,1303.9000244140625,1286.300048828125,1300.0,13051707,
2025-04-23,1300.0,1306.0,1285.4000244140625,1297.0,10480888,0.006792283750026378
2025-04-24,1301.5999755859375,1304.5,1290.300048828125,1292.4000244140625,10468940,0.0012299936982372096
2025-04-25,1300.4000244140625,1325.199951171875,1288.0999755859375,1303.5,14431012,-0.0009223299438438153
2025-04-28,1368.800048828125,1374.5999755859375,1320.199951171875,1340.0,31104496,0.0512625510461746
2025-04-29,1399.699951171875,1410.9000244140625,1370.0,1371.0,32538970,0.02232341379169607
2025-04-30,1405.0,1412.4000244140625,1369.0,1402.0,25480745,0.0037794097259539173
2025-05-02,1419.800048828125,1426.699951171875,1409.0999755859375,1414.0,13007841,0.010478748228286112
2025-05-05,1431.300048828125,1439.5,1426.9000244140625,1431.0,12685649,0.008067105308566967
2025-05-06,1420.9000244140625,1432.0,1410.5999755859375,1431.0,14084117,-0.007292665478557982
2025-05-07,1406.0,1424.4000244140625,1402.699951171875,1420.9000244140625,13440169,-0.010541697455530888
2025-05-08,1407.0,1420.800048828125,1398.0,1404.0999755859375,16106175,0.0007109847437789285
2025-05-09,1377.199951171875,1394.800048828125,1374.5,1385.5,13668904,-0.02140736110465719
2025-05-12,1436.5,1439.0,1400.0,1400.0,10674081,0.04215718240961232
2025-05-13,1415.699951171875,1447.699951171875,1412.4000244140625,1433.5,11407896,-0.014585525509339762
2025-05-14,1424.4000244140625,1429.9000244140625,1415.5,1420.0,5570160,0.006126615633510355
2025-05-15,1454.199951171875,1461.4000244140625,1412.699951171875,1425.0,20177211,0.020705198095130533
2025-05-16,1456.4000244140625,1461.0,1447.300048828125,1453.199951171875,9036695,0.0015117664259276236
2025-05-19,1440.800048828125,1454.5999755859375,1438.199951171875,1452.0999755859375,6195791,-0.010769105313234627
2025-05-20,1424.5999755859375,1445.0,1421.800048828125,1438.199951171875,11270560,-0.011307493344571
2025-05-21,1429.199951171875,1436.199951171875,1418.0999755859375,1423.9000244140625,6136364,0.003223757577831728
2025-05-22,1409.4000244140625,1423.800048828125,1396.9000244140625,1421.199951171875,12134466,-0.013950713769367948
2025-05-23,1426.800048828125,1433.800048828125,1406.5999755859375,1406.5999755859375,6474883,0.012270109491627686
2025-05-26,1434.800048828125,1441.0,1425.0999755859375,1432.0,4842944,0.005591291982579061
2025-05-27,1422.0999755859375,1437.0,1413.9000244140625,1426.0999755859375,12640414,-0.008890865478400463
2025-05-28,1412.9000244140625,1422.5999755859375,1410.699951171875,1420.0999755859375,5944611,-0.006490288159876673
2025-05-29,1417.800048828125,1420.0,1408.5999755859375,1412.0999755859375,13771917,0.003462061809116119
2025-05-30,1420.9000244140625,1430.5999755859375,1409.699951171875,1418.0,13788484,0.002184081965864222
2025-06-02,1413.699951171875,1417.5,1395.5999755859375,1412.0999755859375,8098668,-0.005080144492395877
2025-06-03,1405.5,1426.5,1403.4000244140625,1422.300048828125,11252626,-0.00581723498715866
2025-06-04,1423.5,1425.699951171875,1406.0999755859375,1414.699951171875,8126827,0.012725516371505641
2025-06-05,1442.4000244140625,1454.699951171875,1423.5999755859375,1428.0,13716817,0.013189782097015166
2025-06-06,1443.5,1451.5,1437.0,1441.0,8182161,0.0007623102878822526
2025-06-09,1448.800048828125,1457.5,1445.300048828125,1457.0,7885125,0.0036649411686739564
2025-06-10,1438.5,1453.9000244140625,1436.0,1450.0,7913181,-0.007134757280061074
2025-06-11,1448.9000244140625,1468.5999755859375,1443.0999755859375,1445.800048828125,8195700,0.007203760685141188
2025-06-12,1441.5999755859375,1457.0,1434.4000244140625,1453.5,8828114,-0.005051073758063432
2025-06-13,1427.9000244140625,1435.5,1414.300048828125,1424.0,9757276,-0.00954874038455121
2025-06-16,1437.800048828125,1442.4000244140625,1424.4000244140625,1426.9000244140625,8458093,0.006909350975945267
2025-06-17,1431.199951171875,1448.0,1425.800048828125,1448.0,10366599,-0.004600982432478086
2025-06-18,1430.0999755859375,1442.800048828125,1425.699951171875,1430.0,6681735,-0.0007688642702840422
2025-06-19,1433.300048828125,1439.9000244140625,1425.699951171875,1430.0999755859375,10006599,0.00223515718878298
